grupedad	codmuer	critred1011
NEONATAL	E009	REDUCIBLE EN EL EMBARAZO
NEONATAL	J09X	REDUCIBLE EN EL EMBARAZO
NEONATAL	P040	REDUCIBLE EN EL EMBARAZO
NEONATAL	P002	REDUCIBLE EN EL EMBARAZO
NEONATAL	P003	REDUCIBLE EN EL EMBARAZO
NEONATAL	P013	REDUCIBLE EN EL EMBARAZO
NEONATAL	P014	REDUCIBLE EN EL EMBARAZO
NEONATAL	P015	REDUCIBLE EN EL EMBARAZO
NEONATAL	P016	REDUCIBLE EN EL EMBARAZO
NEONATAL	P017	REDUCIBLE EN EL EMBARAZO
NEONATAL	P018	REDUCIBLE EN EL EMBARAZO
NEONATAL	P019	REDUCIBLE EN EL EMBARAZO
NEONATAL	P020	REDUCIBLE EN EL EMBARAZO
NEONATAL	P021	REDUCIBLE EN EL EMBARAZO
NEONATAL	P022	REDUCIBLE EN EL EMBARAZO
NEONATAL	P024	REDUCIBLE EN EL EMBARAZO
NEONATAL	P041	REDUCIBLE EN EL EMBARAZO
NEONATAL	P042	REDUCIBLE EN EL EMBARAZO
NEONATAL	P043	REDUCIBLE EN EL EMBARAZO
NEONATAL	P044	REDUCIBLE EN EL EMBARAZO
NEONATAL	P045	REDUCIBLE EN EL EMBARAZO
NEONATAL	P046	REDUCIBLE EN EL EMBARAZO
NEONATAL	P048	REDUCIBLE EN EL EMBARAZO
NEONATAL	P049	REDUCIBLE EN EL EMBARAZO
NEONATAL	P000	REDUCIBLE EN EL EMBARAZO
NEONATAL	P001	REDUCIBLE EN EL EMBARAZO
NEONATAL	P350	REDUCIBLE EN EL EMBARAZO
NEONATAL	P352	REDUCIBLE EN EL EMBARAZO
NEONATAL	P353	REDUCIBLE EN EL EMBARAZO
NEONATAL	B007	REDUCIBLE EN EL PARTO
NEONATAL	B008	REDUCIBLE EN EL PARTO
NEONATAL	B009	REDUCIBLE EN EL PARTO
NEONATAL	J153	REDUCIBLE EN EL PARTO
NEONATAL	P025	REDUCIBLE EN EL PARTO
NEONATAL	P026	REDUCIBLE EN EL PARTO
NEONATAL	P030	REDUCIBLE EN EL PARTO
NEONATAL	P031	REDUCIBLE EN EL PARTO
NEONATAL	P032	REDUCIBLE EN EL PARTO
NEONATAL	P033	REDUCIBLE EN EL PARTO
NEONATAL	P034	REDUCIBLE EN EL PARTO
NEONATAL	P035	REDUCIBLE EN EL PARTO
NEONATAL	P036	REDUCIBLE EN EL PARTO
NEONATAL	P038	REDUCIBLE EN EL PARTO
NEONATAL	P039	REDUCIBLE EN EL PARTO
NEONATAL	A300	
NEONATAL	P101	REDUCIBLE EN EL PARTO
NEONATAL	P102	REDUCIBLE EN EL PARTO
NEONATAL	P103	REDUCIBLE EN EL PARTO
NEONATAL	P104	REDUCIBLE EN EL PARTO
NEONATAL	P108	REDUCIBLE EN EL PARTO
NEONATAL	P109	REDUCIBLE EN EL PARTO
NEONATAL	P100	REDUCIBLE EN EL PARTO
NEONATAL	P112	REDUCIBLE EN EL PARTO
NEONATAL	P113	REDUCIBLE EN EL PARTO
NEONATAL	P114	REDUCIBLE EN EL PARTO
NEONATAL	P115	REDUCIBLE EN EL PARTO
NEONATAL	P119	REDUCIBLE EN EL PARTO
NEONATAL	P110	REDUCIBLE EN EL PARTO
NEONATAL	P111	REDUCIBLE EN EL PARTO
NEONATAL	P130	REDUCIBLE EN EL PARTO
NEONATAL	P131	REDUCIBLE EN EL PARTO
NEONATAL	P142	REDUCIBLE EN EL PARTO
NEONATAL	P150	REDUCIBLE EN EL PARTO
NEONATAL	P151	REDUCIBLE EN EL PARTO
NEONATAL	P201	REDUCIBLE EN EL PARTO
NEONATAL	P209	REDUCIBLE EN EL PARTO
NEONATAL	P500	REDUCIBLE EN EL PARTO
NEONATAL	P501	REDUCIBLE EN EL PARTO
NEONATAL	P502	REDUCIBLE EN EL PARTO
NEONATAL	P503	REDUCIBLE EN EL PARTO
NEONATAL	P504	REDUCIBLE EN EL PARTO
NEONATAL	A000	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A001	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A009	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A010	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A011	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A012	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A013	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A014	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A020	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
